Sentence_ID;Word;Label
100;Antibiotics;MEDICINE
100;to;O
100;ICU.;O
101;Go;ACTION
101;to;O
101;nurse station;LOCATION
101;with;O
101;Cough;O
101;Syrup.;O
102;towards;O
102;Transport;ACTION
102;Aspirin;MEDICINE
102;to;O
102;head;O
102;Room 242.;LOCATION
103;Move;ACTION
103;to;O
103;doctors room;LOCATION
103;with;O
103;Cough;O
103;Syrup.;O
104;Bring;ACTION
104;Ibuprofen;MEDICINE
104;to;O
104;Room 235.;LOCATION
105;Move;ACTION
105;to;O
105;Room 431;LOCATION
105;with;O
105;Tylenol.;O
106;Transport;ACTION
106;Ibuprofen;MEDICINE
106;to;O
106;Room 590.;LOCATION
107;Transport;ACTION
107;Penicillin;MEDICINE
107;to;O
107;Room 296.;LOCATION
108;Send;ACTION
108;Cough;O
108;Syrup;O
108;to;O
108;emergency_room.;O
109;Send;ACTION
109;Aspirin;MEDICINE
109;to;O
109;nurse_station.;O
110;Go;ACTION
110;to;O
110;nurse station;LOCATION
110;with;O
110;Cough;O
110;Syrup.;O
111;Deliver;ACTION
111;Cough;O
111;Syrup;O
111;to;O
111;Room 536.;LOCATION
112;Transport;ACTION
112;Penicillin;MEDICINE
112;to;O
112;Room 413.;LOCATION
113;Proceed;ACTION
113;to;O
113;Room 274;LOCATION
113;with;O
113;Penicillin.;O
114;Navigate;ACTION
114;to;O
114;emergency room;LOCATION
114;with;O
114;Cough;O
114;Syrup.;O
115;Navigate;ACTION
115;to;O
115;doctors room;LOCATION
115;with;O
115;Tylenol.;O
116;Proceed;ACTION
116;to;O
116;nurse station;LOCATION
116;with;O
116;Aspirin.;O
117;Head towards;ACTION
117;to;O
117;Room 473;LOCATION
117;with;O
117;Cough;O
117;Syrup.;O
118;Deliver;ACTION
118;Tylenol;MEDICINE
118;to;O
118;doctors_room.;O
119;Proceed;ACTION
119;to;O
119;Room 356;LOCATION
119;with;O
119;Tylenol.;O
120;Take;ACTION
120;Paracetamol;MEDICINE
120;to;O
120;Room 306.;LOCATION
121;Send;ACTION
121;Cough;O
121;Syrup;O
121;to;O
121;Room 568.;LOCATION
122;Head towards;ACTION
122;to;O
122;ICU;LOCATION
122;actually;O
122;with;O
122;Aspirin.;O
123;Send;ACTION
123;Cough;O
123;Syrup;O
123;to;O
123;Room 558.;LOCATION
124;Deliver;ACTION
124;Ibuprofen;MEDICINE
124;to;O
124;doctors_room.;O
125;Head towards;ACTION
125;to;O
125;Room 401;LOCATION
125;with;O
125;Aspirin.;O
126;Transport;ACTION
126;Cough;O
126;Syrup;O
126;to;O
126;Room 112.;LOCATION
127;Proceed;ACTION
127;to;O
127;Room 402;LOCATION
127;with;O
127;Aspirin.;O
128;Transport;ACTION
128;Aspirin;MEDICINE
128;to;O
128;doctors_room.;O
129;Transport;ACTION
129;Paracetamol;MEDICINE
129;to;O
129;reception.;O
130;Navigate;ACTION
130;to;O
130;nurse station;LOCATION
130;with;O
130;Penicillin.;O
131;Send;ACTION
131;Antibiotics;MEDICINE
131;to;O
131;Room 109.;LOCATION
132;Transport;ACTION
132;Aspirin;MEDICINE
132;to;O
132;nurse;O
132;challenge;O
132;station.;O
133;Bring;ACTION
133;Ibuprofen;MEDICINE
133;to;O
133;Room 390.;LOCATION
134;to;O
134;Room Penicillin.;LOCATION
134;172;O
134;Proceed;ACTION
134;with;O
135;Go;ACTION
135;to;O
135;Room 312;LOCATION
135;with;O
135;Tylenol.;O
136;Transport;ACTION
136;Aspirin;MEDICINE
136;to;O
136;doctors_room.;O
137;Head towards;ACTION
137;to;O
137;emergency room;LOCATION
137;with;O
137;Tylenol.;O
138;Proceed;ACTION
138;to;O
138;Room 109;LOCATION
138;personal;O
138;with;O
138;Paracetamol.;O
139;Go;ACTION
139;to;O
139;nurse station;LOCATION
139;with;O
139;Penicillin.;O
140;Send;ACTION
140;Paracetamol;MEDICINE
140;to;O
140;ICU.;O
141;Proceed;ACTION
141;to;O
141;ICU;LOCATION
141;with;O
141;Penicillin.;O
142;with;O
142;emergency;O
142;to;O
142;Syrup.;O
142;Move;ACTION
142;Cough;O
143;Head towards;ACTION
143;to;O
143;emergency room;LOCATION
143;with;O
143;Ibuprofen.;O
144;Go;ACTION
144;to;O
144;Room 295;LOCATION
144;with;O
144;Ibuprofen.;O
145;Take;ACTION
145;Penicillin;MEDICINE
145;to;O
145;Room 583.;LOCATION
146;Take;ACTION
146;Antibiotics;MEDICINE
146;to;O
146;Room 216.;LOCATION
147;Send;ACTION
147;Cough;O
147;Syrup;O
147;to;O
147;Room 223.;LOCATION
148;Proceed;ACTION
148;to;O
148;doctors room;LOCATION
148;with;O
148;Paracetamol.;O
149;Send;ACTION
149;Ibuprofen;MEDICINE
149;to;O
149;Room 372.;LOCATION
150;emergency room;LOCATION
150;Go;ACTION
150;with;O
150;to;O
150;Penicillin.;O
151;Head towards;ACTION
151;to;O
151;Room 381;LOCATION
151;with;O
151;Aspirin.;O
152;Send;ACTION
152;Penicillin;MEDICINE
152;room.;O
152;doctors;O
152;to;O
153;Go;ACTION
153;to;O
153;nurse station;LOCATION
153;with;O
153;Antibiotics.;O
154;Navigate;ACTION
154;to;O
154;Room 106;LOCATION
154;with;O
154;Tylenol.;O
155;Take;ACTION
155;Antibiotics;MEDICINE
155;to;O
155;Room 446.;LOCATION
156;Deliver;ACTION
156;Ibuprofen;MEDICINE
156;to;O
156;Room 577.;LOCATION
157;Transport;ACTION
157;Ibuprofen;MEDICINE
157;to;O
157;ICU.;O
158;Proceed;ACTION
158;to;O
158;Room 559;LOCATION
158;with;O
158;Antibiotics.;O
159;Navigate;ACTION
159;to;O
159;ICU;LOCATION
159;with;O
159;Aspirin.;O
160;Deliver;ACTION
160;head;O
160;Cough;O
160;Syrup;O
160;to;O
160;towards;O
160;Room 566.;LOCATION
161;Go;ACTION
161;to;O
161;RECEPTION;LOCATION
161;with;O
161;Penicillin.;O
162;Navigate;ACTION
162;to;O
162;emergency room;LOCATION
162;with;O
162;Paracetamol.;O
163;Bring;ACTION
163;Tylenol;MEDICINE
163;to;O
163;Room 122.;LOCATION
164;Bring;ACTION
164;Penicillin;MEDICINE
164;to;O
164;reception.;O
165;Move;ACTION
165;to;O
165;Room 185;LOCATION
165;with;O
165;Paracetamol.;O
166;Deliver;ACTION
166;Penicillin;MEDICINE
166;to;O
166;reception.;O
167;Move;ACTION
167;to;O
167;emergency room;LOCATION
167;with;O
167;Tylenol.;O
168;emergency room;LOCATION
168;Send;ACTION
168;Aspirin;MEDICINE
168;to;O
168;emergency_room.;O
169;Proceed;ACTION
169;to;O
169;Room 417;LOCATION
169;wvh;O
169;Antibiotics.;O
170;Deliver;ACTION
170;Tylenol;MEDICINE
170;to;O
170;Room 230.;LOCATION
171;Move;ACTION
171;to;O
171;nurse station;LOCATION
171;with;O
171;Paracetamol.;O
172;Proceed;ACTION
172;to;O
172;ICU;LOCATION
172;with;O
172;Paracetamol.;O
173;Go;ACTION
173;to;O
173;Room 517;LOCATION
173;with;O
173;Tylenol.;O
174;Take;ACTION
174;Paracetamol;MEDICINE
174;to;O
174;Room 208.;LOCATION
175;Proceed;ACTION
175;to;O
175;Room 440;LOCATION
175;with;O
175;Cough;O
175;Syrup.;O
176;Move;ACTION
176;to;O
176;Room 203;LOCATION
176;with;O
176;Cough;O
176;Syrup.;O
177;Move;ACTION
177;to;O
177;reception;LOCATION
177;with;O
177;Tylenol.;O
178;Head towards;ACTION
178;to;O
178;Room 306;LOCATION
178;with;O
178;Cough;O
178;Syrup.;O
179;Move;ACTION
179;to;O
179;Room 290;LOCATION
179;with;O
179;Antibiotics.;O
180;Move;ACTION
180;to;O
180;nurse station;LOCATION
180;with;O
180;Aspirin.;O
181;Transport;ACTION
181;Antibiotics;MEDICINE
181;to;O
181;nurse_station.;O
182;Send;ACTION
182;Aspirin;MEDICINE
182;to;O
182;head;O
182;Room towards;LOCATION
182;116.;O
183;Head;O
183;expect;O
183;towards;O
183;to;O
183;Room 394;LOCATION
183;with;O
183;Penicillin.;O
184;Move;ACTION
184;to;O
184;Room 103;LOCATION
184;with;O
184;Tylenol.;O
185;Navigate;ACTION
185;to;O
185;ICU;LOCATION
185;with;O
185;Ibuprofen.;O
186;Navigate;ACTION
186;to;O
186;Room 102;LOCATION
186;with;O
186;Penicillin.;O
187;535.;O
187;Cough;O
187;to;O
187;Send;ACTION
187;Syrup;O
188;Navigate;ACTION
188;to;O
188;reception;LOCATION
188;with;O
188;Tylenol.;O
189;Navigate;ACTION
189;to;O
189;emergency;O
189;towards;O
189;Room head;LOCATION
189;with;O
189;Ibuprofen.;O
190;Send;ACTION
190;Penicillin;MEDICINE
190;to;O
190;Room 149.;LOCATION
191;Bring;ACTION
191;Penicillin;MEDICINE
191;to;O
191;reception.;O
192;Bring;ACTION
192;Ibuprofen;MEDICINE
192;to;O
192;Room 387.;LOCATION
193;Transport;ACTION
193;Tylenol;MEDICINE
193;to;O
193;Room 161.;LOCATION
194;Bring;ACTION
194;Ibuprofen;MEDICINE
194;to;O
194;Room 445.;LOCATION
195;Transport;ACTION
195;Paracetamol;MEDICINE
195;to;O
195;emergency_room.;O
196;Send;ACTION
196;Penicillin;MEDICINE
196;to;O
196;doctors_room.;O
197;Take;ACTION
197;Aspirin;MEDICINE
197;to;O
197;doctors_room.;O
198;Head towards;ACTION
198;to;O
198;Room 314;LOCATION
198;with;O
198;Aspirin.;O
199;Head towards;ACTION
199;to;O
199;Room 350;LOCATION
199;with;O
199;Cough;O
199;Syrup.;O
200;Send;ACTION
200;Ibuprofen;MEDICINE
200;to;O
200;nurse_station.;O
201;Deliver;ACTION
201;Antibiotics;MEDICINE
201;to;O
201;Room 261.;LOCATION
202;Send;ACTION
202;Penicillin;MEDICINE
202;to;O
202;doctors_room.;O
203;Move;ACTION
203;to;O
203;nurse station;LOCATION
203;nurse station;LOCATION
203;with;O
203;Penicillin.;O
204;Head towards;ACTION
204;to;O
204;Room 336;LOCATION
204;with;O
204;Tylenol.;O
205;Move;ACTION
205;to;O
205;Room 122;LOCATION
205;with;O
205;Tylenol.;O
206;Move;ACTION
206;to;O
206;receptiogception;O
206;with;O
206;Cough;O
206;Syrup.;O
207;Transport;ACTION
207;Cough;O
207;Syrup;O
207;to;O
207;Room 308.;LOCATION
208;Deliver;ACTION
208;Aspirin;MEDICINE
208;to;O
208;Room 539.;LOCATION
209;Deliver;ACTION
209;Paracetamol;MEDICINE
209;to;O
209;emergency_room.;O
210;Send;ACTION
210;Ibuprofen;MEDICINE
210;to;O
210;Room 162.;LOCATION
211;Take;ACTION
211;Paracetamol;MEDICINE
211;to;O
211;emergency_room.;O
212;Move;ACTION
212;to;O
212;Room 253;LOCATION
212;with;O
212;Cough;O
212;Syrup.;O
213;Deliver;ACTION
213;Tylenol;MEDICINE
213;to;O
213;reception.;O
214;Bring;ACTION
214;Penicillin;MEDICINE
214;to;O
214;them;O
214;doctors_room.;O
215;Paracetamol;MEDICINE
215;station.;O
215;nurse;O
215;to;O
215;Transport;ACTION
216;Go;ACTION
216;to;O
216;Room 382;LOCATION
216;with;O
216;Tylenol.;O
217;Navigate;ACTION
217;to;O
217;Room 178;LOCATION
217;with;O
217;Ibuprofen.;O
218;Move;ACTION
218;to;O
218;reception;LOCATION
218;with;O
218;Penicillin.;O
219;Deliver;ACTION
219;Antibiotics;MEDICINE
219;to;O
219;doctors_room.;O
220;Take;ACTION
220;dream;O
220;Paracetamol;MEDICINE
220;to;O
220;Room 536.;LOCATION
221;Take;ACTION
221;Penicillin;MEDICINE
221;to;O
221;reception.;O
222;Ibuprofen;MEDICINE
222;Bring;ACTION
222;reception.;O
222;to;O
223;Transport;ACTION
223;Cough;O
223;Syrup;O
223;to;O
223;Room 486.;LOCATION
224;Syrup;O
224;455.;O
224;Room Deliver;LOCATION
224;Cough;O
224;to;O
225;Navigate;ACTION
225;to;O
225;herself;O
225;Room 464;LOCATION
225;with;O
225;Ibuprofen.;O
226;Send;ACTION
226;Tylenol;MEDICINE
226;to;O
226;Room 313.;LOCATION
227;Move;ACTION
227;to;O
227;Room 133;LOCATION
227;with;O
227;Tylenol.;O
228;Proceed;ACTION
228;to;O
228;RECEPTION;LOCATION
228;with;O
228;Paracetamol.;O
229;Bring;ACTION
229;to;O
229;Penicillin;MEDICINE
229;reception.;O
230;Bring;ACTION
230;Penicillin;MEDICINE
230;to;O
230;nurse_station.;O
231;Transport;ACTION
231;Penicillin;MEDICINE
231;to;O
231;emergency_room.;O
232;Deliver;ACTION
232;Penicillin;MEDICINE
232;to;O
232;emergency_room.;O
233;Deliver;ACTION
233;Penicillin;MEDICINE
233;to;O
233;Room 535.;LOCATION
234;Bring;ACTION
234;Aspirin;MEDICINE
234;to;O
234;emergency_room.;O
235;Deliver;ACTION
235;Tylenol;MEDICINE
235;to;O
235;Room 392.;LOCATION
236;Navigate;ACTION
236;to;O
236;nurse station;LOCATION
236;with;O
236;Paracetamol.;O
237;Bring;ACTION
237;Antibiotics;MEDICINE
237;to;O
237;doctors_room.;O
238;Take;ACTION
238;Aspirin;MEDICINE
238;to;O
238;Room 435.;LOCATION
239;Head towards;ACTION
239;to;O
239;Room 209;LOCATION
239;with;O
239;Cough;O
239;Syrup.;O
240;Take;ACTION
240;Tylenol;MEDICINE
240;to;O
240;nurse_station.;O
241;Navigate;ACTION
241;to;O
241;Room 256;LOCATION
241;with;O
241;Ibuprofen.;O
242;Deliver;ACTION
242;Aspirin;MEDICINE
242;to;O
242;Room 357.;LOCATION
243;towards;O
243;head;O
243;Transport;ACTION
243;Aspirin;MEDICINE
243;to;O
243;reception.;O
244;Bring;ACTION
244;Paracetamol;MEDICINE
244;to;O
244;Room 326.;LOCATION
245;Deliver;ACTION
245;Aspirin;MEDICINE
245;to;O
245;Room 514.;LOCATION
246;Deliver;ACTION
246;Penicillin;MEDICINE
246;to;O
246;Room 220.;LOCATION
247;Navigate;ACTION
247;to;O
247;Room 578;LOCATION
247;with;O
247;Tylenol.;O
248;Delivjr;O
248;Penicillin;MEDICINE
248;to;O
248;doctors_room.;O
249;Head towards;ACTION
249;to;O
249;Room 528;LOCATION
249;with;O
249;Tylenol.;O
250;Navigate;ACTION
250;to;O
250;doctors room;LOCATION
250;with;O
250;Paracetamol.;O
251;Take;ACTION
251;Cough;O
251;Syrup;O
251;to;O
251;doctors_room.;O
252;Transport;ACTION
252;Antibiotics;MEDICINE
252;to;O
252;Room 300.;LOCATION
253;496.;O
253;Transport;ACTION
253;Room to;LOCATION
253;Antibiotics;MEDICINE
254;Take;ACTION
254;Penicillin;MEDICINE
254;to;O
254;Room 385.;LOCATION
255;Take;ACTION
255;Antibiotics;MEDICINE
255;to;O
255;reception.;O
256;Ibuprofen.;O
256;with;O
256;Reception;LOCATION
256;to;O
256;Navigate;ACTION
257;Go;ACTION
257;to;O
257;emergency room;LOCATION
257;with;O
257;Paracetamol.;O
257;towards;O
257;head;O
258;Take;ACTION
258;Tylenol;MEDICINE
258;to;O
258;reception.;O
259;Take;ACTION
259;Tylenol;MEDICINE
259;to;O
259;Room 593.;LOCATION
260;Navigate;ACTION
260;to;O
260;nurse station;LOCATION
260;with;O
260;Paracetamol.;O
261;Proceed;ACTION
261;to;O
261;Reception;LOCATION
261;with;O
261;Ibuprofen.;O
262;Take;ACTION
262;Cough;O
262;Syrup;O
262;to;O
262;Room 321.;LOCATION
263;Room Head;LOCATION
263;towards;O
263;with;O
263;to;O
263;Paracetamol.;O
263;143;O
264;Head towards;ACTION
264;to;O
264;Room 144;LOCATION
264;with;O
264;Cough;O
264;Syrup.;O
265;Head towards;ACTION
265;to;O
265;Room 138;LOCATION
265;with;O
265;Paracetamol.;O
266;Send;ACTION
266;Cough;O
266;Syrup;O
266;to;O
266;Room 452.;LOCATION
267;Take;ACTION
267;Tylenol;MEDICINE
267;to;O
267;Room 102.;LOCATION
268;Go;ACTION
268;to;O
268;doctors room;LOCATION
268;with;O
268;Aspirin.;O
269;Bring;ACTION
269;Paracetamol;MEDICINE
269;to;O
269;Room 415.;LOCATION
270;Transport;ACTION
270;Ibuprofen;MEDICINE
270;to;O
270;Room 190.;LOCATION
271;Proceed;ACTION
271;to;O
271;ICU;LOCATION
271;with;O
271;Aspirin.;O
272;Transport;ACTION
272;Cough;O
272;Syrup;O
272;to;O
272;Room ICU;LOCATION
272;367.;O
273;Transport;ACTION
273;Tylenol;MEDICINE
273;to;O
273;nurse_station.;O
274;Take;ACTION
274;Ibuprofen;MEDICINE
274;to;O
274;ICU.;O
275;Transport;ACTION
275;Aspirin;MEDICINE
275;to;O
275;Room 372.;LOCATION
276;Navigate;ACTION
276;to;O
276;Room 121;LOCATION
276;with;O
276;Tylenol.;O
277;Head towards;ACTION
277;to;O
277;nurse station;LOCATION
277;with;O
277;Penicillin.;O
278;Bring;ACTION
278;Ibuprofen;MEDICINE
278;to;O
278;Room 292.;LOCATION
279;Go;ACTION
279;to;O
279;Room 312;LOCATION
279;with;O
279;Antibiotics.;O
280;Transport;ACTION
280;Penicillin;MEDICINE
280;to;O
280;ICU.;O
281;Send;ACTION
281;Cough;O
281;Syrup;O
281;to;O
281;reception.;O
282;Move;ACTION
282;to;O
282;doctorswtors;O
282;Room with;LOCATION
282;Cough;O
282;Syrup.;O
283;Head towards;ACTION
283;to;O
283;Reception;LOCATION
283;with;O
283;Cough;O
283;Syrup.;O
284;Move;ACTION
284;to;O
284;ICU;LOCATION
284;with;O
284;Tylenol.;O
285;Take;ACTION
285;Aspirin;MEDICINE
285;to;O
285;doctors_room.;O
286;Proceed;ACTION
286;to;O
286;emergency room;LOCATION
286;with;O
286;Ibuprofen.;O
287;Navigate;ACTION
287;to;O
287;Room 492;LOCATION
287;with;O
287;Paracetamol.;O
288;Transport;ACTION
288;Antibiotics;MEDICINE
288;to;O
288;Room 403.;LOCATION
289;Send;ACTION
289;Cough;O
289;Syrup;O
289;to;O
289;Room 570.;LOCATION
290;Deliver;ACTION
290;Tylenol;MEDICINE
290;to;O
290;Room 556.;LOCATION
291;Move;ACTION
291;to;O
291;Room 385;LOCATION
291;with;O
291;Paracetamol.;O
292;Head towards;ACTION
292;to;O
292;doctors room;LOCATION
292;with;O
292;Paracetamol.;O
293;Navigate;ACTION
293;to;O
293;emergency room;LOCATION
293;with;O
